               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089617,            0.030165,            0.036386,          0.00029803,             0.16923,          0.00022055,          4.4308e-05,             0.10039,            0.024234,            0.037178,           0.0032738,           0.0032738,            0.070536
                   1,            0.064054,            0.025229,            0.025678,             0.16075,             0.16557,            0.076161,            0.013137,            0.081997,            0.018641,            0.029771,           0.0065663,           0.0065663,            0.040495
                   2,            0.056095,            0.015755,            0.009709,             0.56661,             0.64693,             0.63931,             0.23255,            0.053066,            0.010934,           0.0081664,           0.0098175,           0.0098175,            0.010413
                   3,            0.045992,            0.011703,           0.0068778,             0.79278,             0.67894,             0.75915,             0.32714,            0.049965,           0.0094104,           0.0057811,           0.0098144,           0.0098144,           0.0098144
                   4,            0.039518,            0.010145,           0.0054494,             0.91621,              0.8761,             0.93919,             0.49707,            0.035666,            0.006851,           0.0034118,           0.0098144,           0.0098144,           0.0098144
                   5,            0.035877,           0.0092455,            0.004479,             0.93213,              0.9109,              0.9641,             0.52842,             0.03289,           0.0062404,           0.0032081,           0.0097525,           0.0097525,           0.0097525
                   6,            0.033528,           0.0086976,            0.003628,             0.96619,             0.91921,             0.95674,             0.61482,            0.029141,           0.0063191,           0.0036766,           0.0096906,           0.0096906,           0.0096906
                   7,            0.030984,           0.0083942,           0.0036778,             0.88621,             0.72879,             0.83901,             0.47776,            0.038452,           0.0076146,            0.013809,           0.0096288,           0.0096288,           0.0096288
                   8,            0.030432,           0.0079374,           0.0034023,             0.97669,              0.9571,             0.98493,             0.65913,             0.02669,           0.0054408,           0.0022807,           0.0095669,           0.0095669,           0.0095669
                   9,            0.028808,           0.0076622,            0.002519,             0.96983,             0.97504,             0.98391,             0.67988,            0.025178,           0.0052305,           0.0023095,            0.009505,            0.009505,            0.009505
                  10,            0.028085,           0.0075852,           0.0025515,             0.98719,             0.97375,             0.98642,             0.69521,            0.023359,           0.0048669,           0.0020857,           0.0094431,           0.0094431,           0.0094431
                  11,            0.026727,           0.0072799,           0.0024542,             0.98218,              0.9661,             0.98516,             0.67825,            0.023679,           0.0050695,           0.0021086,           0.0093813,           0.0093813,           0.0093813
                  12,            0.025899,           0.0071055,           0.0023342,             0.99257,               0.971,             0.98716,             0.71021,            0.023106,           0.0049049,           0.0018865,           0.0093194,           0.0093194,           0.0093194
                  13,            0.025294,           0.0070279,           0.0023168,             0.99061,             0.96484,             0.98672,             0.71509,            0.022316,           0.0048708,           0.0019929,           0.0092575,           0.0092575,           0.0092575
                  14,            0.024678,           0.0068844,           0.0022323,             0.96162,             0.95976,             0.97909,              0.7178,            0.022819,           0.0051393,           0.0034299,           0.0091956,           0.0091956,           0.0091956
                  15,             0.02457,           0.0068453,           0.0020302,             0.97954,              0.9692,             0.98539,             0.69841,            0.023322,           0.0048473,           0.0024496,           0.0091337,           0.0091337,           0.0091337
                  16,            0.024748,           0.0067549,            0.002004,             0.92851,             0.83916,             0.88118,             0.58174,            0.032591,           0.0075072,           0.0069456,           0.0090719,           0.0090719,           0.0090719
                  17,            0.024295,           0.0068201,           0.0022801,             0.98531,             0.97104,             0.98754,             0.72869,            0.021689,           0.0047006,            0.001752,             0.00901,             0.00901,             0.00901
                  18,             0.02369,           0.0066054,           0.0017968,             0.98939,             0.97585,             0.98776,             0.72433,            0.021665,           0.0045914,           0.0018763,           0.0089481,           0.0089481,           0.0089481
                  19,            0.023428,           0.0066575,           0.0019879,             0.98759,             0.97427,             0.99029,             0.75177,            0.020897,           0.0044854,           0.0017511,           0.0088863,           0.0088863,           0.0088863
                  20,            0.023143,           0.0064949,           0.0017832,             0.98702,             0.98143,             0.98652,             0.75098,            0.020351,           0.0044542,           0.0019935,           0.0088244,           0.0088244,           0.0088244
                  21,            0.022218,           0.0064404,           0.0017307,             0.98904,             0.97853,             0.99036,             0.74838,            0.020279,           0.0044212,           0.0020813,           0.0087625,           0.0087625,           0.0087625
                  22,            0.022189,           0.0063127,           0.0017341,             0.98968,             0.97653,             0.98941,               0.751,            0.020604,           0.0044223,           0.0019219,           0.0087006,           0.0087006,           0.0087006
                  23,            0.022049,           0.0061925,           0.0017278,             0.98675,              0.9868,             0.98878,             0.76258,            0.019311,           0.0042367,           0.0017933,           0.0086388,           0.0086388,           0.0086388
                  24,             0.02157,           0.0060226,           0.0013975,             0.98905,             0.97721,             0.99041,             0.74693,            0.019654,           0.0042966,            0.001883,           0.0085769,           0.0085769,           0.0085769
                  25,            0.021318,           0.0061886,           0.0014199,             0.98071,             0.98112,             0.98964,             0.75926,            0.019612,            0.004302,           0.0015964,            0.008515,            0.008515,            0.008515
                  26,            0.021539,           0.0060294,           0.0011048,             0.97297,             0.98131,             0.98562,             0.75339,             0.01967,           0.0044288,           0.0025695,           0.0084531,           0.0084531,           0.0084531
                  27,            0.021099,           0.0061465,           0.0014574,             0.98146,             0.97579,             0.98902,             0.74548,            0.020084,           0.0044353,           0.0019366,           0.0083913,           0.0083913,           0.0083913
                  28,            0.020523,            0.006077,           0.0012523,             0.98783,             0.98369,             0.98961,              0.7696,            0.019103,           0.0041463,           0.0017995,           0.0083294,           0.0083294,           0.0083294
                  29,            0.020504,           0.0058354,           0.0013205,             0.98609,             0.98174,             0.98738,             0.75803,            0.019448,           0.0042582,           0.0018504,           0.0082675,           0.0082675,           0.0082675
                  30,            0.020163,           0.0059698,           0.0014563,             0.97962,             0.96254,             0.98091,             0.74502,            0.020491,           0.0045891,           0.0024014,           0.0082056,           0.0082056,           0.0082056
                  31,            0.020183,           0.0058837,           0.0011938,             0.98928,             0.98476,              0.9902,             0.77169,            0.019079,           0.0041008,            0.001655,           0.0081437,           0.0081437,           0.0081437
                  32,            0.019783,           0.0057871,            0.001243,             0.98585,             0.98689,             0.99109,              0.7701,            0.018682,           0.0040765,           0.0016442,           0.0080819,           0.0080819,           0.0080819
                  33,            0.019856,           0.0057723,           0.0011856,             0.99064,             0.98785,                0.99,             0.77916,            0.018526,           0.0040207,           0.0017584,             0.00802,             0.00802,             0.00802
                  34,            0.019229,           0.0055718,           0.0011527,             0.98693,              0.9825,             0.98932,             0.77285,            0.019073,           0.0040859,           0.0019709,           0.0079581,           0.0079581,           0.0079581
                  35,            0.019625,             0.00566,           0.0010357,             0.99168,             0.98095,             0.98869,             0.77393,            0.018345,           0.0040136,           0.0019141,           0.0078963,           0.0078963,           0.0078963
                  36,            0.018863,           0.0055754,           0.0010444,             0.98825,             0.98301,             0.98918,             0.77566,            0.018185,           0.0039913,           0.0018535,           0.0078344,           0.0078344,           0.0078344
                  37,            0.019286,           0.0056694,           0.0010656,             0.99208,             0.97798,             0.99088,             0.77737,            0.018542,           0.0040246,           0.0017475,           0.0077725,           0.0077725,           0.0077725
                  38,            0.019174,           0.0054727,           0.0009828,             0.99052,             0.98242,             0.99145,             0.77393,            0.018673,           0.0040229,            0.001691,           0.0077106,           0.0077106,           0.0077106
                  39,            0.018779,           0.0054784,           0.0011303,             0.98977,             0.98297,             0.98976,             0.77446,            0.018839,           0.0041032,           0.0016339,           0.0076488,           0.0076488,           0.0076488
                  40,            0.018649,           0.0053703,           0.0010414,             0.99021,              0.9825,             0.98934,             0.76014,            0.018944,           0.0040451,            0.001875,           0.0075869,           0.0075869,           0.0075869
                  41,            0.018174,           0.0054172,          0.00099814,             0.98914,             0.98585,             0.98717,             0.77719,            0.018407,           0.0040007,           0.0018436,            0.007525,            0.007525,            0.007525
                  42,            0.018421,            0.005499,          0.00097223,             0.98732,              0.9868,             0.99022,             0.77984,            0.018182,           0.0039164,           0.0019161,           0.0074631,           0.0074631,           0.0074631
                  43,            0.018013,           0.0053357,          0.00090307,             0.99132,             0.98944,             0.99187,             0.79055,            0.017637,           0.0038733,            0.001626,           0.0074013,           0.0074013,           0.0074013
                  44,            0.018022,           0.0053643,          0.00082575,             0.98372,             0.98982,             0.99069,              0.7936,            0.017574,           0.0038521,           0.0018438,           0.0073394,           0.0073394,           0.0073394
                  45,            0.018189,           0.0052855,           0.0008323,             0.98806,             0.98415,             0.99139,             0.78356,            0.018152,           0.0039763,           0.0020079,           0.0072775,           0.0072775,           0.0072775
                  46,            0.017856,           0.0052897,          0.00092529,             0.98763,             0.98547,             0.99284,             0.78665,            0.018246,           0.0039475,           0.0018116,           0.0072156,           0.0072156,           0.0072156
                  47,            0.017787,           0.0052891,          0.00079157,             0.99039,             0.98785,               0.989,              0.7879,            0.018015,           0.0039346,           0.0016027,           0.0071538,           0.0071538,           0.0071538
                  48,            0.017533,           0.0053369,          0.00089099,             0.98841,             0.98588,              0.9909,             0.79216,             0.01738,           0.0038218,           0.0017133,           0.0070919,           0.0070919,           0.0070919
                  49,            0.017571,           0.0052948,          0.00098396,             0.99125,             0.98588,             0.99246,             0.79035,            0.017835,            0.003839,           0.0015803,             0.00703,             0.00703,             0.00703
                  50,            0.017373,           0.0051529,          0.00079452,             0.99115,             0.98983,               0.991,             0.79304,            0.017566,           0.0038296,           0.0014382,           0.0069681,           0.0069681,           0.0069681
                  51,            0.017276,           0.0050927,          0.00085209,             0.99224,             0.98695,              0.9917,             0.78846,            0.017517,           0.0038222,           0.0015849,           0.0069063,           0.0069063,           0.0069063
                  52,            0.016787,           0.0051105,          0.00078397,             0.99324,             0.98785,             0.98902,             0.79411,            0.017267,           0.0038019,           0.0014568,           0.0068444,           0.0068444,           0.0068444
                  53,            0.017096,           0.0050587,          0.00080422,             0.98702,             0.98944,                0.99,             0.79213,            0.017726,           0.0039034,           0.0017799,           0.0067825,           0.0067825,           0.0067825
                  54,            0.017021,           0.0051319,          0.00084589,              0.9905,             0.98677,              0.9914,             0.79021,            0.017879,           0.0039049,           0.0016481,           0.0067206,           0.0067206,           0.0067206
                  55,            0.016843,           0.0050149,          0.00064508,             0.98892,             0.98185,             0.99104,             0.79631,            0.017359,           0.0038592,           0.0016797,           0.0066587,           0.0066587,           0.0066587
                  56,            0.016809,           0.0050308,          0.00077901,             0.99246,             0.98527,             0.99218,             0.79081,            0.017623,           0.0038627,           0.0017067,           0.0065969,           0.0065969,           0.0065969
                  57,            0.016779,           0.0050121,          0.00068597,             0.99008,             0.98595,              0.9902,              0.7916,            0.017529,           0.0038525,           0.0016606,            0.006535,            0.006535,            0.006535
                  58,            0.016505,           0.0049914,          0.00069488,             0.98995,             0.98232,             0.99126,             0.78491,            0.017861,           0.0038558,           0.0018113,           0.0064731,           0.0064731,           0.0064731
                  59,            0.016489,           0.0049647,          0.00063116,             0.98825,             0.98983,             0.99146,             0.79443,            0.017325,           0.0037556,           0.0017121,           0.0064112,           0.0064112,           0.0064112
                  60,            0.016203,            0.004973,          0.00067513,             0.98843,             0.98785,             0.99166,             0.79276,            0.017541,           0.0037718,           0.0015456,           0.0063494,           0.0063494,           0.0063494
                  61,            0.016239,           0.0049541,          0.00069167,             0.99321,             0.98916,             0.99163,             0.79919,            0.017242,           0.0038058,           0.0015403,           0.0062875,           0.0062875,           0.0062875
                  62,            0.016302,           0.0048233,          0.00069489,                0.99,              0.9868,             0.99006,             0.79997,            0.017128,            0.003725,           0.0015495,           0.0062256,           0.0062256,           0.0062256
                  63,            0.016028,            0.004947,          0.00060795,              0.9903,              0.9889,             0.99156,             0.79974,            0.017068,           0.0037428,           0.0014212,           0.0061637,           0.0061637,           0.0061637
                  64,            0.015758,           0.0047026,          0.00062897,             0.99015,             0.98898,             0.99278,             0.80401,            0.017158,           0.0037489,           0.0014733,           0.0061019,           0.0061019,           0.0061019
                  65,            0.016214,           0.0049555,          0.00088587,             0.99228,             0.98984,             0.99368,              0.8005,            0.017287,           0.0037004,           0.0015345,             0.00604,             0.00604,             0.00604
                  66,            0.015964,           0.0048173,          0.00067997,             0.99504,             0.98588,             0.99395,             0.80281,            0.017016,           0.0037251,           0.0012991,           0.0059781,           0.0059781,           0.0059781
                  67,            0.016025,           0.0048629,          0.00063454,             0.99099,             0.98791,             0.99277,             0.79696,            0.017179,           0.0037196,           0.0017365,           0.0059163,           0.0059163,           0.0059163
                  68,            0.015944,           0.0048466,          0.00068239,             0.99139,             0.98447,              0.9901,             0.79803,            0.017252,           0.0037668,           0.0017495,           0.0058544,           0.0058544,           0.0058544
                  69,            0.015596,           0.0047566,          0.00069912,             0.99498,             0.98743,             0.99133,             0.79763,            0.017295,           0.0037503,           0.0014203,           0.0057925,           0.0057925,           0.0057925
                  70,            0.015587,           0.0048908,          0.00063266,             0.99388,             0.98751,             0.99272,             0.80353,            0.017007,            0.003739,           0.0013085,           0.0057306,           0.0057306,           0.0057306
                  71,            0.015477,            0.004813,          0.00073906,             0.99171,             0.98776,             0.99186,             0.80134,            0.016895,           0.0037142,           0.0016257,           0.0056688,           0.0056688,           0.0056688
                  72,            0.015553,           0.0046816,          0.00071935,             0.99342,             0.98634,             0.99184,             0.79991,            0.017229,           0.0037539,           0.0015028,           0.0056069,           0.0056069,           0.0056069
                  73,            0.015528,           0.0047627,          0.00064168,             0.99214,             0.98691,             0.99263,             0.79777,            0.017117,           0.0037179,           0.0016152,            0.005545,            0.005545,            0.005545
                  74,            0.015147,             0.00469,          0.00070768,             0.99557,             0.98721,             0.99196,             0.80248,            0.017009,            0.003741,           0.0013082,           0.0054831,           0.0054831,           0.0054831
                  75,            0.015108,            0.004607,           0.0005984,             0.99295,             0.98587,             0.99231,             0.80202,             0.01684,            0.003734,           0.0014775,           0.0054212,           0.0054212,           0.0054212
                  76,            0.015114,           0.0045757,          0.00047986,             0.99125,              0.9868,             0.99068,             0.79833,            0.017196,           0.0037381,            0.001549,           0.0053594,           0.0053594,           0.0053594
                  77,             0.01477,            0.004597,          0.00050941,              0.9942,             0.98892,             0.99335,             0.80525,            0.016798,           0.0036622,           0.0014689,           0.0052975,           0.0052975,           0.0052975
                  78,            0.014555,           0.0044975,          0.00050741,              0.9954,             0.98785,             0.99208,             0.80861,            0.016632,           0.0036412,           0.0013701,           0.0052356,           0.0052356,           0.0052356
